UserName,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
Huy,43266902,470885488,427618586,91579747,265879941,174300194,62899502,475941453,413041951,67795021,912069892,844274871,83279266,337254873,253975607,438827862,375630476,-63197386,123455908,647812802,524356894,67611315,191153707,123542392,83413452,1212070765,1128657313,47368059,1173064402,1125696343,55479018
Huy,243885328,189329572767,189085687439,71412118,530949220,459537102,87416634,197013603,109596969,67293776,183974818,116681042,99418451,1046031339,946612888,79289581,400087377,320797796,387967243,308800042,-79167201,123478070,686157034,562678964,82615684,190840630,108224946,91668461,316025076,224356615,75481102,933018165,857537063,71389042
Huy,79253135,570309830,491056695,98919643,219479891,120560248,79460564,547245499,467784935,71184608,1074562458,1003377850,79572245,438263415,358691170,391944587,292937171,-99007416,147408896,417151159,269742263,71235023,175899675,104664652,95281073,201659510,106378437,95708484,287226140,191517656,75210156
Huy,75153235,1522529656,1447376421,87584988,284273433,196688445,74302888,1214861457,1140558569,75413884,857958167,782544283,112658065,1041273737,928615672,307692411,256703380,-50989031,119487208,217103473,97616265,74831476,153901136,79069660,91397314,239200333,147803019,75250840,914803934,839553094,75319713
Huy,55098487,439725028,384626541,115557890,217895654,102337764,63500537,259261640,195761103,67507562,1066870934,999363372,95364574,381887751,286523177,368285564,312858668,-55426896,123611399,254480712,130869313,64107591,581831549,517723958,87284102,230912796,143628694,87331665,222881289,135549624,91540587
Huy,63569395,410040340,346470945,127695905,201987574,74291669,88561862,159085245,70523383,71519154,2138884995,2067365841,95544178,370994053,275449875,404024396,324941980,-79082416,115383041,233923929,118540888,71691743,126970231,55278488,91498599,145182303,53683704,99198596,204860131,105661535,79448487
Huy,75754488,624061689,548307201,83691623,249022638,165331015,63429071,457207839,393778768,80231788,834656595,754424807,84380084,406186438,321806354,452058457,368927596,-83130861,135399805,282903184,147503379,71448407,167090259,95641852,95224984,200800456,105575472,87539284,244953834,157414550,87587890
Huy,63465185,777814946,714349761,75556324,214934262,139377938,59755581,187280316,127524735,67336150,866927952,799591802,87438462,417070248,329631786,303271223,223890493,-79380730,127753057,254977357,127224300,80478859,506138213,425659354,103497960,206894477,103396517,87430576,214092198,126661622,87336894
